TeamID,ID,Name,Email,PreferredGame,SkillLevel,PreferredRole,PersonalityScore,PersonalityType
Team_15,P034,Participant_34,user34@university.edu,FIFA,7,SUPPORTER,91,Leader
Team_15,P054,Participant_54,user54@university.edu,Valorant,8,SUPPORTER,69,Thinker
Team_15,P045,Participant_45,user45@university.edu,Chess,2,COORDINATOR,68,Thinker
Team_15,P008,Participant_8,user8@university.edu,Valorant,10,DEFENDER,81,Balanced
Team_15,P017,Participant_17,user17@university.edu,CS:GO,10,ATTACKER,77,Balanced
SUMMARY,Avg Skill: 7.4,Unique Roles: 4
Team_10,P031,Participant_31,user31@university.edu,Basketball,8,STRATEGIST,97,Leader
Team_10,P024,Participant_24,user24@university.edu,DOTA 2,7,SUPPORTER,63,Thinker
Team_10,P018,Participant_18,user18@university.edu,FIFA,3,DEFENDER,51,Thinker
Team_10,P011,Participant_11,user11@university.edu,Basketball,8,STRATEGIST,84,Balanced
Team_10,P026,Participant_26,user26@university.edu,Chess,8,STRATEGIST,74,Balanced
SUMMARY,Avg Skill: 6.8,Unique Roles: 3
Team_12,P055,Participant_55,user55@university.edu,Chess,8,COORDINATOR,90,Leader
Team_12,P042,Participant_42,user42@university.edu,DOTA 2,7,ATTACKER,53,Thinker
Team_12,P077,Participant_77,user77@university.edu,FIFA,2,ATTACKER,89,Balanced
Team_12,P071,Participant_71,user71@university.edu,Chess,8,STRATEGIST,70,Balanced
Team_12,P005,Participant_5,user5@university.edu,CS:GO,9,COORDINATOR,82,Balanced
SUMMARY,Avg Skill: 6.8,Unique Roles: 3
Team_7,P040,Participant_40,user40@university.edu,Chess,9,COORDINATOR,100,Leader
Team_7,P027,Participant_27,user27@university.edu,Chess,6,ATTACKER,53,Thinker
Team_7,P093,Participant_93,user93@university.edu,CS:GO,4,DEFENDER,51,Thinker
Team_7,P053,Participant_53,user53@university.edu,DOTA 2,7,DEFENDER,71,Balanced
Team_7,P065,Participant_65,user65@university.edu,DOTA 2,7,COORDINATOR,77,Balanced
SUMMARY,Avg Skill: 6.6,Unique Roles: 3
Team_3,P091,Participant_91,user91@university.edu,FIFA,10,STRATEGIST,98,Leader
Team_3,P072,Participant_72,user72@university.edu,DOTA 2,5,ATTACKER,61,Thinker
Team_3,P030,Participant_30,user30@university.edu,CS:GO,4,COORDINATOR,54,Thinker
Team_3,P044,Participant_44,user44@university.edu,FIFA,6,SUPPORTER,71,Balanced
Team_3,P089,Participant_89,user89@university.edu,Chess,6,SUPPORTER,75,Balanced
SUMMARY,Avg Skill: 6.2,Unique Roles: 4
Team_20,P064,Participant_64,user64@university.edu,CS:GO,6,SUPPORTER,92,Leader
Team_20,P081,Participant_81,user81@university.edu,FIFA,10,STRATEGIST,52,Thinker
Team_20,P087,Participant_87,user87@university.edu,Basketball,4,ATTACKER,51,Thinker
Team_20,P029,Participant_29,user29@university.edu,Basketball,5,SUPPORTER,77,Balanced
Team_20,P098,Participant_98,user98@university.edu,CS:GO,5,DEFENDER,83,Balanced
SUMMARY,Avg Skill: 6.0,Unique Roles: 4
Team_14,P103,Dsadasd,ddasdasd@sdadas.dsa,CS:GO,8,STRATEGIST,100,Leader
Team_14,P015,Participant_15,user15@university.edu,DOTA 2,8,COORDINATOR,66,Thinker
Team_14,P056,Participant_56,user56@university.edu,Basketball,4,STRATEGIST,86,Balanced
Team_14,P059,Participant_59,user59@university.edu,DOTA 2,4,SUPPORTER,79,Balanced
Team_14,P002,Participant_2,user2@university.edu,FIFA,5,ATTACKER,80,Balanced
SUMMARY,Avg Skill: 5.8,Unique Roles: 4
Team_1,P082,Participant_82,user82@university.edu,Valorant,10,ATTACKER,97,Leader
Team_1,P039,Participant_39,user39@university.edu,FIFA,5,SUPPORTER,66,Thinker
Team_1,P060,Participant_60,user60@university.edu,CS:GO,4,COORDINATOR,57,Thinker
Team_1,P041,Participant_41,user41@university.edu,Basketball,5,STRATEGIST,70,Balanced
Team_1,P050,Participant_50,user50@university.edu,Basketball,5,COORDINATOR,70,Balanced
SUMMARY,Avg Skill: 5.8,Unique Roles: 4
Team_2,P085,Participant_85,user85@university.edu,Basketball,10,COORDINATOR,98,Leader
Team_2,P069,Participant_69,user69@university.edu,CS:GO,5,SUPPORTER,68,Thinker
Team_2,P021,Participant_21,user21@university.edu,FIFA,4,STRATEGIST,64,Thinker
Team_2,P074,Participant_74,user74@university.edu,FIFA,3,SUPPORTER,82,Balanced
Team_2,P062,Participant_62,user62@university.edu,Basketball,6,ATTACKER,85,Balanced
SUMMARY,Avg Skill: 5.6,Unique Roles: 4
Team_8,P102,Sadadasd,sdadad@sadfasda.csd,CS:GO,9,COORDINATOR,100,Leader
Team_8,P048,Participant_48,user48@university.edu,Valorant,6,DEFENDER,65,Thinker
Team_8,P099,Participant_99,user99@university.edu,Valorant,3,SUPPORTER,66,Thinker
Team_8,P014,Participant_14,user14@university.edu,FIFA,3,SUPPORTER,73,Balanced
Team_8,P092,Participant_92,user92@university.edu,Basketball,7,ATTACKER,70,Balanced
SUMMARY,Avg Skill: 5.6,Unique Roles: 4
Team_11,P037,Participant_37,user37@university.edu,DOTA 2,8,ATTACKER,100,Leader
Team_11,P033,Participant_33,user33@university.edu,FIFA,7,DEFENDER,65,Thinker
Team_11,P095,Participant_95,user95@university.edu,CS:GO,2,COORDINATOR,84,Balanced
